iter	Passed	Remaining
401	24708	159681
402	24755	159531
403	24803	159378
404	24844	159186
405	24892	159039
406	24939	158891
407	24992	158774
408	25037	158614
409	25087	158479
410	25140	158367
411	25193	158255
412	25243	158121
413	25289	157968
414	25342	157854
415	25388	157704
416	25435	157554
417	25480	157391
418	25531	157271
419	25577	157121
420	25631	157015
421	25696	156981
422	25748	156866
423	25795	156718
424	25840	156565
425	25897	156481
426	25950	156368
427	26003	156266
428	26044	156087
429	26090	155933
430	26140	155812
431	26187	155672
432	26239	155558
433	26280	155381
434	26331	155265
435	26373	155095
436	26419	154951
437	26465	154804
438	26511	154661
439	26561	154540
440	26613	154428
441	26669	154345
442	26719	154222
443	26768	154102
444	26810	153933
445	26863	153830
446	26909	153689
447	26961	153586
448	27016	153492
449	27068	153389
450	27132	153352
451	27202	153343
452	27259	153269
453	27313	153174
454	27365	153067
455	27431	153036
456	27496	153008
457	27550	152909
458	27598	152783
459	27645	152653
460	27688	152497
461	27734	152357
462	27783	152239
463	27835	152136
464	27881	151996
465	27937	151918
466	28000	151872
467	28055	151786
468	28117	151738
469	28176	151672
470	28230	151582
471	28290	151520
472	28348	151451
473	28404	151370
474	28448	151223
475	28491	151077
476	28540	150959
477	28587	150831
478	28629	150678
479	28682	150583
480	28734	150483
481	28789	150400
482	28836	150272
483	28886	150160
484	28937	150056
485	28989	149957
486	29034	149821
487	29085	149720
488	29138	149627
489	29199	149571
490	29257	149506
491	29307	149397
492	29362	149314
493	29410	149195
494	29465	149113
495	29521	149033
496	29569	148916
497	29619	148810
498	29667	148695
499	29708	148540
500	29752	148405
501	29801	148295
502	29861	148240
503	29905	148103
504	29953	147990
505	30001	147872
506	30043	147728
507	30093	147622
508	30139	147498
509	30185	147376
510	30233	147261
511	30283	147159
512	30332	147049
513	30391	146990
514	30437	146866
515	30489	146774
516	30537	146661
517	30583	146539
518	30628	146414
519	30678	146312
520	30728	146211
521	30779	146113
522	30832	146025
523	30877	145903
524	30934	145832
525	30991	145766
526	31039	145656
527	31106	145635
528	31149	145500
529	31194	145379
530	31255	145330
531	31308	145241
532	31353	145120
533	31399	145003
534	31446	144888
535	31493	144777
536	31755	145651
537	32264	147647
538	32407	147966
539	32480	147967
540	32545	147930
541	32625	147957
542	32680	147873
543	32733	147782
544	32800	147750
545	32863	147706
546	32927	147663
547	32987	147602
548	33045	147533
549	33100	147446
550	33153	147355
551	33194	147209
552	33240	147087
553	33285	146961
554	33331	146839
555	33379	146725
556	33432	146635
557	33493	146577
558	33555	146525
559	33627	146518
560	33673	146399
561	33718	146273
562	33765	146157
563	33810	146031
564	33857	145918
565	33905	145806
566	33951	145687
567	33996	145561
568	34045	145454
569	34097	145362
570	34164	145335
571	34228	145289
572	34275	145177
573	34325	145076
574	34369	144950
575	34416	144835
576	34464	144725
577	34509	144606
578	34560	144510
579	34612	144418
580	34662	144318
581	34708	144199
582	34754	144084
583	34797	143957
584	34845	143851
585	34893	143741
586	34939	143626
587	34986	143517
588	35033	143404
589	35078	143286
590	35127	143185
591	35183	143110
592	35235	143021
593	35280	142902
594	35328	142796
595	35377	142697
596	35426	142596
597	35470	142473
598	35517	142366
599	35564	142257
600	35611	142150
601	35662	142059
602	35717	141981
603	35770	141899
604	35831	141846
605	35881	141751
606	35945	141708
607	35996	141616
608	36048	141530
609	36092	141412
610	36140	141309
611	36188	141205
612	36233	141093
613	36277	140974
614	36327	140878
615	36370	140758
616	36419	140659
617	36461	140535
618	36514	140452
619	36577	140411
620	36628	140320
621	36676	140218
622	36718	140097
623	36770	140010
624	36819	139913
625	36879	139859
626	36926	139755
627	36979	139673
628	37024	139563
629	37076	139476
630	37231	139779
631	37399	140128
632	37642	140759
633	38042	141968
634	38139	142047
635	38219	142060
636	38285	142022
637	38346	141965
638	38407	141907
639	38482	141903
640	38542	141844
641	38606	141798
642	38664	141729
643	38730	141689
644	38808	141697
645	38887	141704
646	38971	141729
647	39021	141634
648	39075	141551
649	39127	141460
650	39174	141354
651	39224	141257
652	39278	141174
653	39334	141097
654	39389	141020
655	39444	140940
656	39500	140867
657	39549	140767
658	39600	140673
659	39647	140568
660	39702	140491
661	39752	140393
662	39802	140298
663	39854	140210
664	39896	140086
665	39951	140009
666	40002	139920
667	40050	139815
668	40092	139695
669	40146	139613
670	40192	139505
671	40243	139414
672	40292	139317
673	40347	139240
674	40397	139148
675	40449	139058
676	40500	138970
677	40554	138891
678	40600	138783
679	40650	138689
680	40698	138589
681	40747	138493
682	40791	138380
683	40835	138269
684	40889	138187
685	40937	138088
686	41009	138070
687	41057	137972
688	41107	137880
689	41158	137790
690	41217	137731
691	41265	137632
692	41323	137565
693	41374	137479
694	41418	137366
695	41477	137306
696	41523	137200
697	41574	137111
698	41635	137058
699	41698	137009
700	41746	136912
701	41796	136822
702	41851	136745
703	41907	136674
704	41961	136598
705	42010	136505
706	42056	136400
707	42104	136304
708	42151	136205
709	42196	136098
710	42242	135995
711	42296	135919
712	42338	135803
713	42385	135704
714	42425	135582
715	42472	135483
716	42517	135379
717	42563	135277
718	42608	135173
719	42647	135049
720	42698	134965
721	42746	134869
722	42792	134769
723	42838	134667
724	42885	134572
725	42932	134475
726	42987	134402
727	43032	134300
728	43080	134204
729	43132	134125
730	43179	134027
731	43225	133927
732	43280	133856
733	43326	133756
734	43371	133653
735	43428	133588
736	43474	133491
737	43524	133403
738	43585	133351
739	43633	133260
740	43678	133158
741	43727	133067
742	43768	132953
743	43820	132875
744	43864	132770
745	43918	132698
746	43965	132601
747	44036	132580
748	44089	132502
749	44142	132426
750	44195	132350
751	44247	132273
752	44295	132181
753	44359	132137
754	44407	132045
755	44464	131982
756	44514	131896
757	44570	131829
758	44622	131750
759	44678	131683
760	44733	131614
761	44783	131530
762	44843	131473
763	44887	131371
764	44934	131278
765	44988	131206
766	45035	131114
767	45087	131036
768	45138	130953
769	45187	130867
770	45234	130773
771	45281	130683
772	45323	130577
773	45372	130489
774	45420	130400
775	45474	130328
776	45515	130220
777	45558	130117
778	45606	130029
779	45659	129952
780	45701	129847
781	45751	129766
782	45807	129701
783	45856	129613
784	45906	129531
785	45953	129441
786	46004	129362
787	46052	129274
788	46116	129232
789	46165	129146
790	46214	129061
791	46263	128975
792	46317	128906
793	46359	128802
794	46404	128706
795	46456	128631
796	46503	128540
797	46552	128455
798	46602	128375
799	46650	128290
800	46714	128244
801	46772	128185
802	46824	128110
803	46870	128020
804	46921	127940
805	46966	127847
806	47013	127758
807	47280	128265
808	47327	128175
809	47369	128072
810	47418	127990
811	47464	127895
812	47513	127813
813	47560	127724
814	47718	127932
815	47949	128335
816	48024	128320
817	48077	128246
818	48134	128183
819	48187	128108
820	48350	128325
821	48526	128577
822	48746	128945
823	48842	128981
824	48927	128990
825	49001	128969
826	49072	128941
827	49142	128909
828	49212	128878
829	49266	128805
830	49319	128730
831	49374	128657
832	49427	128581
833	49473	128489
834	49517	128388
835	49566	128302
836	49610	128205
837	49664	128132
838	49710	128039
839	49757	127948
840	49821	127900
841	49866	127804
842	49914	127716
843	49959	127622
844	50020	127566
845	50065	127472
846	50127	127418
847	50176	127335
848	50228	127256
849	50279	127178
850	50326	127087
851	50373	126998
852	50420	126907
853	50466	126817
854	50506	126708
855	50555	126623
856	50606	126545
857	50662	126479
858	50713	126398
859	50765	126322
860	50812	126234
861	50868	126167
862	50917	126083
863	50967	126002
864	51021	125931
865	51072	125852
